Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
ABACAVIR SULFATE;;0.58;III;III;III;300.0;77.0;III
ACETAZOLAMIDE;;-1.13;IV;IV;IV;250.0;0.8;II/IV
ACETYLSALICYLIC ACID;3.8;1.02;III;III;I;500.0;3.33;I
ACYCLOVIR;0.0;-2.42;III;III;III;4.0;2.5;III
ALBENDAZOLE;;3.4610000000000003;II/IV;II;II;400.0;0.01;II/IV
ALLOPURINOL;;0.63;III;IV;II/IV;300.0;0.57;I
AMILORIDE HYDROCHLORIDE;;-2.22;I;III;III;5.0;50.0;I
AMIODARONE;;8.94;;II;II;400.0;0.7;
AMITRIPTYLINE;;4.85;I/II;I;I;75.0;0.9;I
AMLODIPINE;;3.43;;I/III;I;5.0;1.97;I
AMODIAQUINE;;4.94;;I;III;200.0;3.2;I/III
AMOXICILLIN;1.5;-1.87;I;III;III;500.0;4.0;I
CLAVULANIC ACID;;-1.2;;III;III;125.0;300.0;I/III
ANASTROZOLE;;1.48;;I;I;1.0;0.5;
ANTYPIRINE;20.1;0.204;;III;I;;;
ARTEMETHER;;3.05;II/IV;I;II/IV;20.0;1.0;III/IV
ARTESUNATE;;2.93;;II;II/IV;50.0;0.1;II/IV
ATAZANAVIR;;5.92;;II;IV;300.0;1.0;
ATENOLOL;0.1;-0.11;III;III;III;100.0;24.8;III
AZATHIOPRINE;;0.51;IV;IV;II/IV;50.0;0.124;II/IV
AZITHROMYCIN;;2.64;;II;II/IV;500.0;0.01;II/IV
BENSERAZIDE;;-2.89;;III;I/III;50.0;10.0;
BENZNIDAZOLE;;1.38;I;III;I;100.0;0.4;III
BICALUTAMIDE;;2.71;;II;II;50.0;0.005;
BIPERIDEN HYDROCHLORIDE;;4.94;III;I;I;2.0;1.0;I/III
BISOPROLOL;;1.83;;I;I;5.0;2.24;
CAPECITABINE;;0.84;;III;I;500.0;26.0;
CARBAMAZEPINE ;12.0;1.98;II;II;II;200.0;0.44;II
CARBIDOPA;;-0.445;I;III;I;25.0;1.0;I/III
CEFIXIME;;-0.42;;IV;IV;400.0;0.055;II/IV
CEPHALEXIN MONOHYDRATE;0.1;-2.51;;IV;III;250.0;12.5;
CHLORAMBUCIL;;3.63;;I;I;2.0;0.01;I/III
CHLORAMPHENICOL;6.7;1.28;III;III;I;250.0;2.5;III
CHLOROQUINE ;2.0;5.06;I;I;I;150.0;100.0;I
CHLORPROMAZINE HYDROCHLORIDE;11.8;5.8;II/IV;I;I;100.0;50.0;III
CIMETIDINE;0.0;0.35;III;III;III;;;
CIPROFLOXACIN HYDROCHLORIDE;;-1.15;II/IV;III;IV;250.0;0.16;I/III
CLARITHROMYCIN;19.5;2.37;;II;IV;500.0;0.08;
CLINDAMYCIN HYDROCHLORIDE;;2.57;;I/III;I;150.0;40.0;I
CLOFAZIMINE;2.58;7.5;II/IV;II;II/IV;100.0;0.052000000000000005;III/IV
CLOMIPHENE CITRATE;;7.15;I/III;I;I;50.0;1.06;I/III
CLOMIPRAMINE;;5.92;I/III;;I;25.0;100.0;I/III
CLOPIDOGREL;;4.21;;I;II;300.0;0.051;
CLOXACILLIN;;2.2;III;I;III;1000.0;100.0;III
CLOZAPINE;;3.71;;II;II;200.0;0.19;
CODEINE PHOSPHATE;;0.98;III;III;I;60.0;120.0;III
CREATININE;;-1.77;;III;III;;;
CYCLIZINE;;3.8;;I;I;50.0;8.7;
CYCLOPHOSPHAMIDE;;0.93;I;III;I;25.0;31.7;I
CYCLOSERINE;;-1.19;;III;III;250.0;100.0;I/III
CYCLOSPORINE;0.3;11.5;;II;II;50.0;0.01;III/IV
D-PENICILLAMINE;;-1.73;III;III;III;250.0;100.0;III
DACLATASVIR;44.2;4.72;;II;IV;60.0;0.004;
DAPSONE;;0.89;II;IV;II;100.0;0.23;II
