Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
IMATINIB;;4.53;;II;II;400.0;0.04;
SALICYLIC ACID;21.5;2.19;;I/III;I;300.0;2.51;
NORFLOXACIN;0.9;-0.78;;IV;IV;400.0;1.0;
METHYLDOPA;;-2.73;III;III;III;250.0;10.0;III
SOTALOL;2.9;0.226;;III;III;240.0;137.0;
PARACETAMOL;3.3;0.49;III;IV;I;500.0;23.7;I
AMOXICILLIN;1.5;-1.87;I;III;III;500.0;4.0;I
NAPROXEN;24.3;2.82;;I;II;500.0;0.115;
LAMIVUDINE;1.75;-1.46;I/III;III;III;300.0;70.0;III
ABACAVIR SULFATE;;0.58;III;III;III;300.0;77.0;III
ACETYLSALICYLIC ACID;3.8;1.02;III;III;I;500.0;3.33;I
ALBENDAZOLE;;3.4610000000000003;II/IV;II;II;400.0;0.01;II/IV
AMIODARONE;;8.94;;II;II;400.0;0.7;
CIPROFLOXACIN HYDROCHLORIDE;;-1.15;II/IV;III;IV;250.0;0.16;I/III
CLOXACILLIN;;2.2;III;I;III;1000.0;100.0;III
CYCLOSERINE;;-1.19;;III;III;250.0;100.0;I/III
D-PENICILLAMINE;;-1.73;III;III;III;250.0;100.0;III
DARUNAVIR;;2.89;;II;II;800.0;0.15;
DILOXANIDE;;1.77;II/IV;II;II;500.0;0.1;II/IV
EMTRICITABINE;;-1.29;;III;III;200.0;112.0;
ERYTHROMYCIN;0.1;1.47;III;I;IV;500.0;0.33;IV
ETHOSUXIMIDE;;0.4;I;III;I;250.0;100.0;I/III
FLUCYTOSINE;;-1.63;;III;III;250.0;1.47;I/III
IBUPROFEN;10.8;3.68;II;II;II;600.0;0.038;II
ISONIAZID;;-0.67;I;III;I/III;300.0;153.0;III
METFORMIN HYDROCHLORIDE;0.2;-1.63;III;III;III;500.0;33.0;III
NICLOSAMIDE;;4.34;II/IV;II;II/IV;500.0;0.013000000000000001;II/IV
NICOTINAMIDE;;-7.16;I;III;I;50.0;366.8;I
NIFURTIMOX;;0.02;III;III;III;250.0;33.0;III
p-AMINOSALICYLIC ACID;;1.06;;III;I/III;500.0;3.2;II/IV
PHENOXYMETHYLPENICILLIN;;1.62;I;I/III;III;250.0;33.0;I
