Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
METOPROLOL TARTRATE;3.5;1.35;I;I;I;100.0;43.0;I
KETOPROFEN;19.1;2.76;;II;II;75.0;0.18;
CLOPIDOGREL;;4.21;;I;II;300.0;0.051;
FLUVASTATIN;;4.05;;I;I;40.0;2.0;
HYDROCHLOROTHIAZIDE;0.1;-0.36;III;III;III;50.0;0.64;III
FUROSEMIDE;0.6;1.9;IV;II/IV;IV;40.0;0.01;II/IV
AMODIAQUINE;;4.94;;I;III;200.0;3.2;I/III
ARTEMETHER;;3.05;II/IV;I;II/IV;20.0;1.0;III/IV
CHLOROQUINE ;2.0;5.06;I;I;I;150.0;100.0;I
CHLORPROMAZINE HYDROCHLORIDE;11.8;5.8;II/IV;I;I;100.0;50.0;III
CLINDAMYCIN HYDROCHLORIDE;;2.57;;I/III;I;150.0;40.0;I
CLOMIPHENE CITRATE;;7.15;I/III;I;I;50.0;1.06;I/III
CLOZAPINE;;3.71;;II;II;200.0;0.19;
CYCLIZINE;;3.8;;I;I;50.0;8.7;
CYCLOPHOSPHAMIDE;;0.93;I;III;I;25.0;31.7;I
CYCLOSPORINE;0.3;11.5;;II;II;50.0;0.01;III/IV
DAPSONE;;0.89;II;IV;II;100.0;0.23;II
DASABUVIR;;4.07;;II;II;250.0;0.01;
DELAMANID;;5.25;;II;II;50.0;0.1;
DIETHYLCARBAMAZINE;;1.62;I;I/III;I;100.0;63.7;I
ENALAPRIL MALEATE;3.4;0.67;;I/III;I;20.0;25.0;III
ETHIONAMIDE;14.6;1.73;;I/III;I;250.0;5.03;I/III
FLUOXETINE HYDROCHLORIDE;;;;I;I;20.0;15.2;
GLICLAZIDE;;0.85;;II/IV;II;80.0;0.004;
GRISEOFULVIN;7.8;1.77;II;II/IV;II;250.0;0.013999999999999999;II
HYDRALAZINE HYDROCHLORIDE;;1.17;III;III;III;50.0;44.2;III
HYDROXYCHLOROQUINE SULFATE;;4.12;;I;I;200.0;20.0;
ISOTRETINOIN;;6.74;;II;II;40.0;0.01;
METHOTREXATE;0.2;-0.53;III;III;III;15.0;0.45;III
MIDAZOLAM;10.0;3.42;;I;I;15.0;0.27;
MILTEFOSINE;;-2.38;;III/IV;;50.0;;
NEOSTIGMINE BROMIDE;1.1;2.23;III;I;III;15.0;100.0;
NEVIRAPINE;;2.42;II;II;II;200.0;0.1;II
NITROFURANTOIN;;-0.47;II;IV;II/IV;100.0;0.16;II
OMBITASVIR;;;;;II/IV;12.5;0.01;
OMEPRAZOLE;;2.56;;I;I;40.0;0.5;
OXAMNIQUINE;;1.81;;II;II;250.0;0.82;II/IV
PARITAPRAVIR;;;;;II;75.0;0.01;
PHENOBARBITAL;;1.37;I;I/III;I;100.0;0.01;I
