Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
ABACAVIR SULFATE;;0.58;III;III;III;300.0;77.0;III
ACETAZOLAMIDE;;-1.13;IV;IV;IV;250.0;0.8;II/IV
ALLOPURINOL;;0.63;III;IV;II/IV;300.0;0.57;I
AMODIAQUINE;;4.94;;I;III;200.0;3.2;I/III
ATAZANAVIR;;5.92;;II;IV;300.0;1.0;
CARBAMAZEPINE ;12.0;1.98;II;II;II;200.0;0.44;II
CEPHALEXIN MONOHYDRATE;0.1;-2.51;;IV;III;250.0;12.5;
CHLORAMPHENICOL;6.7;1.28;III;III;I;250.0;2.5;III
CHLOROQUINE ;2.0;5.06;I;I;I;150.0;100.0;I
CHLORPROMAZINE HYDROCHLORIDE;11.8;5.8;II/IV;I;I;100.0;50.0;III
CIPROFLOXACIN HYDROCHLORIDE;;-1.15;II/IV;III;IV;250.0;0.16;I/III
CLINDAMYCIN HYDROCHLORIDE;;2.57;;I/III;I;150.0;40.0;I
CLOMIPRAMINE;;5.92;I/III;;I;25.0;100.0;I/III
CLOPIDOGREL;;4.21;;I;II;300.0;0.051;
CLOZAPINE;;3.71;;II;II;200.0;0.19;
CODEINE PHOSPHATE;;0.98;III;III;I;60.0;120.0;III
CYCLOSERINE;;-1.19;;III;III;250.0;100.0;I/III
D-PENICILLAMINE;;-1.73;III;III;III;250.0;100.0;III
DASABUVIR;;4.07;;II;II;250.0;0.01;
DESIPRAMINE;14.6;4.47;;I;I;150.0;25.0;
DIETHYLCARBAMAZINE;;1.62;I;I/III;I;100.0;63.7;I
EMTRICITABINE;;-1.29;;III;III;200.0;112.0;
ETHIONAMIDE;14.6;1.73;;I/III;I;250.0;5.03;I/III
ETHOSUXIMIDE;;0.4;I;III;I;250.0;100.0;I/III
FLUCYTOSINE;;-1.63;;III;III;250.0;1.47;I/III
GRISEOFULVIN;7.8;1.77;II;II/IV;II;250.0;0.013999999999999999;II
HYDROXYCHLOROQUINE SULFATE;;4.12;;I;I;200.0;20.0;
ISONIAZID;;-0.67;I;III;I/III;300.0;153.0;III
LAMIVUDINE;1.75;-1.46;I/III;III;III;300.0;70.0;III
LEVAMISOLE;;1.84;I/III;I;I;150.0;5.1;I/III
LISINOPRIL;;-1.69;;III;III;40.0;97.0;
LOPINAVIR;;6.1;II/IV;II;II;200.0;0.01;II/IV
MEFLOQUINE;;3.67;II/IV;I;II;250.0;0.303;II/IV
METHYLDOPA;;-2.73;III;III;III;250.0;10.0;III
METOPROLOL TARTRATE;3.5;1.35;I;I;I;100.0;43.0;I
NEOSTIGMINE BROMIDE;1.1;2.23;III;I;III;15.0;100.0;
NEVIRAPINE;;2.42;II;II;II;200.0;0.1;II
NIFURTIMOX;;0.02;III;III;III;250.0;33.0;III
OXAMNIQUINE;;1.81;;II;II;250.0;0.82;II/IV
PENTAMIDINE;;;;I;III;300.0;100.0;
PHENOXYMETHYLPENICILLIN;;1.62;I;I/III;III;250.0;33.0;I
PYRANTEL;;3.03;II/IV;II;II;250.0;0.5;II/IV
QUININE SULFATE;;2.79;I/III;I;I;300.0;1.3;I
RIFABUTIN;63.2;4.73;;II;II/IV;150.0;0.19;
RIFAMPICIN;1.6;4.03;II;II;II;300.0;0.64;II
RIFAPENTINE;19.3;5.41;;II;II;150.0;0.11;
SALICYLIC ACID;21.5;2.19;;I/III;I;300.0;2.51;
SIMEPREVIR;;5.95;;II;II;150.0;0.01;
TENOFOVIR DISOPROXIL FUMARATE;;-1.56;;III;III;300.0;13.4;
TRIMETHOPRIM;2.2;0.98;II;IV;II;160.0;0.4;II
ACAMPROSATE;;-2.465;;III;III;333.0;59.4;
ADEFOVIR;;-1.8730000000000002;;III;III;210.0;33.0;
CAPTOPRIL;19.1;0.89;III;III;III;100.0;100.0;
NILOTINIB CHLORHYDRATE;;5.84;;II;II/IV;200.0;0.005;
CHLORPROMAZINE;11.8;5.8;II/IV;I;I;200.0;50.0;III
DANAZOL;;0.6;;II;II;200.0;0.0009;
SPIRAMYCIN;;2.015;;II;II/IV;250.0;0.02;
FLECAINIDE;;3.66;;I;I;150.0;48.4;
FLUTAMIDE;;3.33;;II;II;250.0;0.0095;
KETOCONAZOLE;3.3;3.64;;II;II;200.0;0.08;
LAMOTRIGINE;;2.53;;II;II;200.0;0.17;
METHYLPHENIDATE;;2.56;;I;I;20.0;100.0;
MINOCYCLINE;;-1.18;;III;III;100.0;52.0;
NALTREXONE CLORHIDRATE;;0.36;;III;I;100.0;100.0;
OXACILLIN;;2.04;;I/III;III;250.0;25.0;
PENTOXIFYLLINE ;;0.11599999999999999;;III;I;400.0;77.0;
PRIMIDONE;;0.88;;IV;II;250.0;0.6;
PROPAFENONE;;3.64;;II;II;300.0;0.1;
QUINACRINE;;6.72;;I;I;300.0;10.0;
SOTALOL;2.9;0.226;;III;III;240.0;137.0;
QUINIDINE;;1.57;;I;I;300.0;11.0;I/III
THALIDOMIDE;;0.528;;IV;II;200.0;0.545;
TIANEPTINE;;1.52;;I;I;40.0;92.0;
THIORIDAZINE;;6.0;;I;III;200.0;1.0;
TOPIRAMATE;;-3.79;;III;III;200.0;9.75;
TRIENTINE;;-2.36;;III;III;300.0;100.0;
