Compound;BCS-OMS;Smin;Dmax;BCS-Final;BCS-Kasim;BCS-Lindenberg
AMITRIPTYLINE;I;0.9;75.0;I;I;I/II
AMLODIPINE;I;1.97;5.0;I;I/III;
ANASTROZOLE;;0.5;1.0;I;I;
BENZNIDAZOLE;III;0.4;100.0;I;III;I
BIPERIDEN HYDROCHLORIDE;I/III;1.0;2.0;I;I;III
BISOPROLOL;;2.24;5.0;I;I;
CARBIDOPA;I/III;1.0;25.0;I;III;I
CHLORAMBUCIL;I/III;0.01;2.0;I;I;
CLOMIPHENE CITRATE;I/III;1.06;50.0;I;I;I/III
CYCLIZINE;;8.7;50.0;I;I;
CYCLOPHOSPHAMIDE;I;31.7;25.0;I;III;I
DEXAMETHASONE;;0.1;4.0;I;I/III;I/III
DIAZEPAM;I;0.05;10.0;I;II;I
DOXYCYCLINE HYCLATE;I;28.0;100.0;I;IV;I
ENALAPRIL MALEATE;III;25.0;20.0;I;I/III;
ETHINYL ESTRADIOL;I/III;0.01;0.03;I;I;I/III
FLUCONAZOLE;I;6.9;50.0;I;III;I
FLUDROCORTISONE;;0.09;0.1;I;I/III;
FLUOXETINE HYDROCHLORIDE;;15.2;20.0;I;I;
FLUVASTATIN;;2.0;40.0;I;I;
HYDROCORTISONE;;0.39;20.0;I;I/III;
LEVAMISOLE;I/III;5.1;150.0;I;I;I/III
LEVONORGESTREL;I;0.01;1.5;I;I;I
MIDAZOLAM;;0.27;15.0;I;I;
NORETHISTERONE;I;0.01;1.0;I;I;I
OMEPRAZOLE;;0.5;40.0;I;I;
ONDANSETRON;;5.7;8.0;I;I/III;
PHENOBARBITAL;I;0.01;100.0;I;I/III;I
PREDNISOLONE;I;0.24;25.0;I;I;I
PRIMAQUINE;I;8.8;15.0;I;I/III;I
PROCARBAZINE HYDROCHLORIDE;I/III;1.5;50.0;I;III;
PROGUANIL;I;9.09;100.0;I;I;I
PROPRANOLOL;I;39.52;40.0;I;I;I
PROPYLTHIOURACIL;I;1.2;50.0;I;III;III
RISPERIDONE;;0.08;6.0;I;I;
TAMOXIFEN;I;0.5;20.0;I;I;
VERAPAMIL;II;11.0;120.0;I;I;I/II
RIBOFLAXIN;I;0.085;5.0;I;;I
PYRIDOXINE;I;1.0;25.0;I;III;I
ZIDOVUDINE;I;18.65;0.83;I;III;I
ALPRAZOLAM;;0.073;3.0;I;I;
AMANTADINE;;2.12;100.0;I;I/III;
BUSULFAN;;0.1;2.0;I;III;
CYPROHEPTADINE;I;3.64;4.0;I;I;
CLOBAZAM;;0.188;20.0;I;I;
CLOMIPHENE;I/III;1.06;50.0;I;I;I/III
CLONAZEPAM;;0.1;2.0;I;I;
CLONIDINE;;76.9;0.3;I;I;
CHLORDIAZEPOXIDE;;1.99;25.0;I;I;
DIPHENHYDRAMINE;;3.06;50.0;I;I;
DILTIAZEM;;0.51;120.0;I;I;
LETROZOLE;;0.04;2.5;I;I;
MELPHALAN;;0.1;2.0;I;I/III;
OXYBUTYNIN;;0.8;10.0;I;I;
PREDNISONE;I;0.133;10.0;I;I/III;
SALBUTAMOL;I;17.7;4.0;I;III;I
SERTRALINE;;3.8;100.0;I;I;
SILDENAFIL;;3.5;100.0;I;I/III;
TRAMADOL;;30.0;50.0;I;I;
TRIFLUOPERAZINE;;50.0;10.0;I;I;
TRIHEXIPHENYDIL;;1.0;5.0;I;I;
